InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
553686,22607,WOODEN ROUNDERS GARDEN SET ,6,2011-05-18 13:58:00,9.95,14911.0,EIRE
575622,23309,SET OF 60 I LOVE LONDON CAKE CASES ,24,2011-11-10 13:13:00,0.55,16743.0,United Kingdom
545995,22432,WATERING CAN PINK BUNNY,6,2011-03-08 13:54:00,1.95,15023.0,United Kingdom
572671,23456,MEDIUM PARLOUR PICTURE FRAME ,18,2011-10-25 13:14:00,3.75,13340.0,United Kingdom
547867,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,1,2011-03-27 13:56:00,4.95,13357.0,United Kingdom
546910,20725,LUNCH BAG RED RETROSPOT,4,2011-03-17 19:46:00,1.65,13969.0,United Kingdom
581149,23295,SET OF 12 MINI LOAF BAKING CASES,1,2011-12-07 14:12:00,0.83,15471.0,United Kingdom
542113,21527,RED RETROSPOT TRADITIONAL TEAPOT ,2,2011-01-25 13:55:00,7.95,14341.0,United Kingdom
563613,23245,SET OF 3 REGENCY CAKE TINS,12,2011-08-18 08:49:00,4.95,12688.0,Israel
540545,22332,SKULLS PARTY BAG + STICKER SET,3,2011-01-09 15:35:00,1.65,13451.0,United Kingdom
563619,21172,PARTY METAL SIGN ,12,2011-08-18 10:01:00,1.45,12839.0,United Kingdom
555352,21242,RED RETROSPOT PLATE ,96,2011-06-02 12:46:00,1.45,15838.0,United Kingdom
574029,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,18,2011-11-02 12:34:00,2.95,12955.0,United Kingdom
542373,21058,PARTY INVITES WOODLAND,24,2011-01-27 13:38:00,0.85,16767.0,United Kingdom
550631,21907,I'M ON HOLIDAY METAL SIGN,12,2011-04-19 14:51:00,2.1,15225.0,United Kingdom
545702,85206A,CREAM FELT EASTER EGG BASKET,2,2011-03-06 15:21:00,1.65,14247.0,United Kingdom
550305,84568,GIRLS ALPHABET IRON ON PATCHES ,288,2011-04-17 10:27:00,0.21,17920.0,United Kingdom
580545,23108,SET OF 10 LED DOLLY LIGHTS,2,2011-12-05 09:16:00,6.25,12782.0,Portugal
540692,21520,BOOZE & WOMEN GREETING CARD ,12,2011-01-11 09:12:00,0.42,14320.0,United Kingdom
578093,21498,RED RETROSPOT WRAP ,50,2011-11-22 17:21:00,0.42,14911.0,EIRE
576607,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,6,2011-11-15 15:42:00,2.95,12474.0,Germany
565150,22297,HEART IVORY TRELLIS SMALL,24,2011-09-01 14:26:00,1.06,14298.0,United Kingdom
575740,23223,CHRISTMAS TREE HANGING SILVER ,12,2011-11-11 09:25:00,0.83,18130.0,United Kingdom
553464,22197,SMALL POPCORN HOLDER,48,2011-05-17 11:07:00,0.85,16218.0,United Kingdom
541406,22931,BAKING MOULD HEART WHITE CHOCOLATE,3,2011-01-17 15:19:00,2.55,14657.0,United Kingdom
552864,85020,ROUND PINK HEART MIRROR,6,2011-05-11 17:13:00,2.1,13235.0,United Kingdom
552265,22895,SET OF 2 TEA TOWELS APPLE AND PEARS,2,2011-05-08 11:41:00,3.25,14161.0,United Kingdom
572035,22176,BLUE OWL SOFT TOY,24,2011-10-20 12:03:00,2.95,14646.0,Netherlands
562840,22937,BAKING MOULD CHOCOLATE CUPCAKES,1,2011-08-09 16:27:00,2.55,14527.0,United Kingdom
566053,72586,SET OF 6 HALLOWEEN GHOST T-LIGHTS,4,2011-09-08 14:57:00,0.42,14410.0,United Kingdom
571057,22795,SWEETHEART RECIPE BOOK STAND,4,2011-10-13 14:13:00,6.75,15367.0,United Kingdom
553946,22497,SET OF 2 TINS VINTAGE BATHROOM ,4,2011-05-20 10:48:00,4.25,15601.0,United Kingdom
574340,85049A,TRADITIONAL CHRISTMAS RIBBONS,2,2011-11-04 10:08:00,1.25,17377.0,United Kingdom
549251,21089,SET/6 GREEN SPRING PAPER CUPS,3,2011-04-07 12:16:00,0.19,14449.0,United Kingdom
546430,22245,"HOOK, 1 HANGER ,MAGIC GARDEN",2,2011-03-13 15:55:00,0.85,15918.0,United Kingdom
563183,22356,CHARLOTTE BAG PINK POLKADOT,10,2011-08-12 14:47:00,0.85,14110.0,United Kingdom
577804,23318,BOX OF 6 MINI VINTAGE CRACKERS,1,2011-11-21 17:33:00,2.49,17432.0,United Kingdom
561324,84660C,PINK STITCHED WALL CLOCK,20,2011-07-26 13:45:00,0.79,14414.0,United Kingdom
568654,22182,CAKE STAND VICTORIAN FILIGREE SMALL,4,2011-09-28 12:20:00,4.95,14911.0,EIRE
538591,85231B,CINAMMON SET OF 9 T-LIGHTS,24,2010-12-13 11:44:00,0.85,14741.0,United Kingdom
566923,22624,IVORY KITCHEN SCALES,1,2011-09-15 15:05:00,8.5,15511.0,United Kingdom
550817,20751,FUNKY WASHING UP GLOVES ASSORTED,1,2011-04-20 17:00:00,2.1,17946.0,United Kingdom
557026,22209,WOOD STAMP SET HAPPY BIRTHDAY,12,2011-06-16 13:14:00,0.83,16571.0,United Kingdom
567854,21790,VINTAGE SNAP CARDS,12,2011-09-22 13:37:00,0.85,14038.0,United Kingdom
571456,20718,RED RETROSPOT SHOPPER BAG,4,2011-10-17 13:57:00,1.25,16729.0,United Kingdom
539112,21643,ASSORTED TUTTI FRUTTI MIRROR,12,2010-12-16 11:15:00,1.25,13468.0,United Kingdom
544569,21078,SET/20 STRAWBERRY PAPER NAPKINS ,6,2011-02-21 12:58:00,0.85,16980.0,United Kingdom
571745,21524,DOORMAT SPOTTY HOME SWEET HOME,2,2011-10-19 10:48:00,8.25,14911.0,EIRE
560033,23294,SET OF 6 SNACK LOAF BAKING CASES,24,2011-07-14 13:28:00,0.83,12388.0,Australia
578931,22142,CHRISTMAS CRAFT WHITE FAIRY ,1,2011-11-27 12:40:00,1.45,16942.0,United Kingdom
545523,82582,AREA PATROLLED METAL SIGN,1,2011-03-03 12:41:00,2.1,14524.0,United Kingdom
540014,85049B,LUSH GREENS RIBBONS,1,2011-01-04 11:34:00,1.25,14606.0,United Kingdom
539501,22115,METAL SIGN EMPIRE TEA,2,2010-12-20 11:08:00,2.95,17085.0,United Kingdom
543382,85049D,BRIGHT BLUES RIBBONS ,2,2011-02-07 16:21:00,1.25,14030.0,United Kingdom
536637,22796,PHOTO FRAME 3 CLASSIC HANGING,2,2010-12-02 11:35:00,9.95,18041.0,United Kingdom
567656,22570,FELTCRAFT CUSHION RABBIT,1,2011-09-21 14:40:00,7.46,14096.0,United Kingdom
576508,35646,VINTAGE BEAD PINK EVENING BAG,4,2011-11-15 12:02:00,1.25,17777.0,United Kingdom
554963,23132,SMALL IVORY HEART WALL ORGANISER,3,2011-05-27 15:32:00,5.75,14625.0,United Kingdom
559319,21830,ASSORTED CREEPY CRAWLIES,24,2011-07-07 14:11:00,0.42,18013.0,United Kingdom
540462,22197,SMALL POPCORN HOLDER,12,2011-01-07 12:45:00,0.85,16779.0,United Kingdom
569866,23350,ROLL WRAP VINTAGE SPOT ,2,2011-10-06 14:50:00,1.25,12757.0,Portugal
540027,22116,METAL SIGN HIS DINNER IS SERVED,12,2011-01-04 13:30:00,0.85,14210.0,United Kingdom
542618,22457,NATURAL SLATE HEART CHALKBOARD ,2,2011-01-30 15:52:00,2.95,14502.0,United Kingdom
571291,23284,DOORMAT KEEP CALM AND COME IN,1,2011-10-16 15:44:00,8.25,13610.0,United Kingdom
541004,15036,ASSORTED COLOURS SILK FAN,24,2011-01-13 10:35:00,0.75,18190.0,United Kingdom
549939,22030,SWALLOWS GREETING CARD,12,2011-04-13 11:46:00,0.42,16309.0,United Kingdom
561045,51014L,"FEATHER PEN,LIGHT PINK",48,2011-07-24 12:29:00,0.39,17522.0,United Kingdom
575141,85099B,JUMBO BAG RED RETROSPOT,20,2011-11-08 15:35:00,2.08,15615.0,United Kingdom
573132,21811,HANGING HEART WITH BELL,48,2011-10-27 16:55:00,0.39,15189.0,United Kingdom
574491,22367,CHILDRENS APRON SPACEBOY DESIGN,8,2011-11-04 13:05:00,1.95,16318.0,United Kingdom
581456,21034,REX CASH+CARRY JUMBO SHOPPER,1,2011-12-08 18:42:00,0.95,17530.0,United Kingdom
547900,82494L,WOODEN FRAME ANTIQUE WHITE ,6,2011-03-28 11:51:00,2.95,13649.0,United Kingdom
554072,22991,GIRAFFE WOODEN RULER,12,2011-05-22 11:24:00,1.95,13555.0,United Kingdom
575623,23330,DECORATIVE WICKER HEART MEDIUM,5,2011-11-10 13:14:00,1.25,14064.0,United Kingdom
580672,22757,LARGE RED BABUSHKA NOTEBOOK ,3,2011-12-05 14:29:00,0.39,17920.0,United Kingdom
550272,22994,TRAVEL CARD WALLET RETROSPOT,192,2011-04-15 12:14:00,0.42,18079.0,United Kingdom
577058,22383,LUNCH BAG SUKI DESIGN ,1,2011-11-17 14:29:00,1.65,18122.0,United Kingdom
577880,23452,HEART MINI PORTRAIT FRAME,6,2011-11-22 11:37:00,1.95,14515.0,United Kingdom
573903,22465,HANGING METAL STAR LANTERN,6,2011-11-01 14:51:00,1.65,14667.0,United Kingdom
563903,22379,RECYCLING BAG RETROSPOT ,10,2011-08-21 11:15:00,2.1,17068.0,United Kingdom
579196,21086,SET/6 RED SPOTTY PAPER CUPS,3,2011-11-28 15:54:00,1.63,14096.0,United Kingdom
546528,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,60,2011-03-14 13:04:00,2.1,15311.0,United Kingdom
576062,23144,ZINC T-LIGHT HOLDER STARS SMALL,12,2011-11-13 15:30:00,0.83,12867.0,United Kingdom
571498,22593,CHRISTMAS GINGHAM STAR,2,2011-10-17 15:06:00,0.85,17841.0,United Kingdom
576222,21987,PACK OF 6 SKULL PAPER CUPS,24,2011-11-14 13:02:00,0.65,12490.0,France
549235,22967,SET 3 SONG BIRD PAPER EGGS ASSORTED,3,2011-04-07 11:16:00,2.95,15530.0,United Kingdom
569546,23341,PINK DINER WALL CLOCK,1,2011-10-04 16:39:00,8.5,15276.0,United Kingdom
560119,16014,SMALL CHINESE STYLE SCISSOR,20,2011-07-15 10:21:00,0.42,12815.0,Poland
578667,23439,HAND WARMER RED LOVE HEART,2,2011-11-24 17:10:00,2.1,15514.0,United Kingdom
571841,84030E,ENGLISH ROSE HOT WATER BOTTLE,1,2011-10-19 12:21:00,4.25,17625.0,United Kingdom
552957,23081,GREEN METAL BOX ARMY SUPPLIES,4,2011-05-12 12:36:00,8.25,17404.0,Sweden
543610,23230,WRAP ALPHABET DESIGN,25,2011-02-10 14:30:00,0.42,16425.0,United Kingdom
568230,23413,VINTAGE COFFEE GRINDER BOX,3,2011-09-26 11:05:00,4.95,12925.0,United Kingdom
537609,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,24,2010-12-07 13:22:00,2.75,17675.0,United Kingdom
570482,22632,HAND WARMER RED RETROSPOT,1,2011-10-10 17:00:00,2.1,17459.0,United Kingdom
574353,22386,JUMBO BAG PINK POLKADOT,5,2011-11-04 10:46:00,2.08,14659.0,United Kingdom
576095,23434,3 RAFFIA RIBBONS 50'S CHRISTMAS ,20,2011-11-14 09:13:00,0.79,14904.0,United Kingdom
569361,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,12,2011-10-03 14:59:00,6.95,16183.0,United Kingdom
538403,84912A,PINK ROSE WASHBAG,3,2010-12-12 11:46:00,3.75,17211.0,United Kingdom
537242,22615,PACK OF 12 CIRCUS PARADE TISSUES ,24,2010-12-06 10:19:00,0.29,14748.0,United Kingdom
552181,22748,POPPY'S PLAYHOUSE KITCHEN,40,2011-05-06 13:36:00,2.1,17381.0,United Kingdom
553011,20801,LARGE PINK GLASS SUNDAE DISH,2,2011-05-12 17:03:00,0.79,14390.0,United Kingdom
569835,22726,ALARM CLOCK BAKELIKE GREEN,10,2011-10-06 13:05:00,3.75,15518.0,United Kingdom
555396,84836,ZINC METAL HEART DECORATION,10,2011-06-02 17:23:00,1.25,16529.0,United Kingdom
549153,48187,DOORMAT NEW ENGLAND,2,2011-04-06 15:47:00,7.95,13771.0,United Kingdom
574826,22752,SET 7 BABUSHKA NESTING BOXES,1,2011-11-07 10:58:00,8.5,15870.0,United Kingdom
554112,21124,SET/10 BLUE POLKADOT PARTY CANDLES,2,2011-05-22 14:44:00,1.25,17611.0,United Kingdom
564742,23206,LUNCH BAG APPLE DESIGN,3,2011-08-28 15:01:00,1.65,17346.0,United Kingdom
546133,22635,CHILDS BREAKFAST SET DOLLY GIRL ,2,2011-03-09 15:20:00,9.95,14291.0,United Kingdom
580156,23430,BLUE RETRO KITCHEN WALL CLOCK,6,2011-12-02 10:32:00,8.15,14897.0,United Kingdom
574068,23343,JUMBO BAG VINTAGE CHRISTMAS ,10,2011-11-02 14:51:00,2.08,12490.0,France
549260,82484,WOOD BLACK BOARD ANT WHITE FINISH,2,2011-04-07 12:34:00,7.95,17790.0,United Kingdom
544610,20685,DOORMAT RED RETROSPOT,4,2011-02-22 10:09:00,7.95,16912.0,United Kingdom
543116,84991,60 TEATIME FAIRY CAKE CASES,24,2011-02-03 13:29:00,0.55,17672.0,United Kingdom
540540,22625,RED KITCHEN SCALES,1,2011-01-09 15:10:00,8.5,17218.0,United Kingdom
552169,22570,FELTCRAFT CUSHION RABBIT,1,2011-05-06 12:44:00,3.75,17800.0,United Kingdom
572182,22585,PACK OF 6 BIRDY GIFT TAGS,12,2011-10-21 10:32:00,1.25,13588.0,United Kingdom
580501,23069,EDWARDIAN PHOTO FRAME,2,2011-12-04 13:00:00,6.25,14546.0,United Kingdom
548407,22383,LUNCH BAG SUKI DESIGN ,10,2011-03-31 10:07:00,1.65,16401.0,United Kingdom
579470,20973,12 PENCIL SMALL TUBE WOODLAND,2,2011-11-29 15:06:00,0.65,16549.0,United Kingdom
574032,22736,RIBBON REEL MAKING SNOWMEN ,5,2011-11-02 12:37:00,1.65,17754.0,United Kingdom
548718,21166,COOK WITH WINE METAL SIGN ,144,2011-04-04 08:50:00,1.85,14156.0,EIRE
564666,22815,CARD PSYCHEDELIC APPLES,12,2011-08-26 14:51:00,0.42,12492.0,Germany
562100,84536A,ENGLISH ROSE NOTEBOOK A7 SIZE,16,2011-08-02 14:00:00,0.42,13437.0,United Kingdom
574678,23230,WRAP ALPHABET DESIGN,25,2011-11-06 12:36:00,0.42,13365.0,United Kingdom
550352,21034,REX CASH+CARRY JUMBO SHOPPER,2,2011-04-18 10:21:00,0.95,16719.0,United Kingdom
554667,22804,CANDLEHOLDER PINK HANGING HEART,12,2011-05-25 15:18:00,2.95,15727.0,United Kingdom
581114,22802,FAUX FUR CHOCOLATE THROW,1,2011-12-07 12:19:00,7.95,14527.0,United Kingdom
553901,23173,REGENCY TEAPOT ROSES ,12,2011-05-19 17:48:00,8.15,14911.0,EIRE
574025,21327,SKULLS WRITING SET ,2,2011-11-02 12:26:00,1.65,12748.0,United Kingdom
540003,22776,SWEETHEART CAKESTAND 3 TIER,2,2011-01-04 10:37:00,9.95,16875.0,United Kingdom
537422,72802C,VANILLA SCENT CANDLE JEWELLED BOX,1,2010-12-06 15:27:00,4.25,17812.0,United Kingdom
560190,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,2,2011-07-15 12:33:00,8.5,15737.0,United Kingdom
553885,22427,ENAMEL FLOWER JUG CREAM,3,2011-05-19 15:41:00,5.95,12601.0,Germany
552303,21089,SET/6 GREEN SPRING PAPER CUPS,12,2011-05-08 15:15:00,0.19,14341.0,United Kingdom
563546,22383,LUNCH BAG SUKI DESIGN ,10,2011-08-17 12:24:00,1.65,16729.0,United Kingdom
570818,20668,DISCO BALL CHRISTMAS DECORATION,48,2011-10-12 12:47:00,0.12,17841.0,United Kingdom
540093,21733,RED HANGING HEART T-LIGHT HOLDER,1,2011-01-04 15:24:00,2.95,16725.0,United Kingdom
553134,23168,CLASSIC SUGAR DISPENSER,12,2011-05-13 12:50:00,1.25,15382.0,United Kingdom
556474,20711,JUMBO BAG TOYS ,1,2011-06-12 12:01:00,2.08,16007.0,United Kingdom
555737,21465,PINK FLOWER CROCHET FOOD COVER,6,2011-06-07 09:19:00,3.75,16153.0,United Kingdom
548160,85049D,BRIGHT BLUES RIBBONS ,24,2011-03-29 13:33:00,1.25,16253.0,United Kingdom
567941,22928,YELLOW GIANT GARDEN THERMOMETER,2,2011-09-22 18:24:00,5.95,13519.0,United Kingdom
550988,23205,CHARLOTTE BAG VINTAGE ALPHABET ,10,2011-04-21 18:10:00,0.85,14231.0,United Kingdom
577599,22083,PAPER CHAIN KIT RETROSPOT,6,2011-11-21 08:26:00,2.95,15738.0,United Kingdom
573103,47566,PARTY BUNTING,12,2011-10-27 14:56:00,4.95,16513.0,United Kingdom
537163,21577,SAVE THE PLANET COTTON TOTE BAG,12,2010-12-05 13:21:00,2.25,17863.0,United Kingdom
578511,22118,JOY WOODEN BLOCK LETTERS,1,2011-11-24 13:27:00,4.95,17975.0,United Kingdom
567305,POST,POSTAGE,2,2011-09-19 13:28:00,18.0,12621.0,Germany
575495,22632,HAND WARMER RED RETROSPOT,24,2011-11-10 09:09:00,2.1,14944.0,United Kingdom
540827,22061,LARGE CAKE STAND  HANGING STRAWBERY,2,2011-01-11 14:15:00,9.95,17569.0,United Kingdom
564962,22421,LIPSTICK PEN FUSCHIA,4,2011-08-31 14:35:00,0.42,17777.0,United Kingdom
568163,23424,GINGHAM RECIPE BOOK BOX,4,2011-09-25 12:34:00,4.95,14540.0,United Kingdom
546951,37423,WHITE WITH BLACK CATS PLATE,24,2011-03-18 11:30:00,0.39,17673.0,United Kingdom
579949,21791,VINTAGE HEADS AND TAILS CARD GAME ,12,2011-12-01 11:00:00,1.25,16700.0,United Kingdom
574310,22791,T-LIGHT GLASS FLUTED ANTIQUE,12,2011-11-03 16:56:00,1.25,13467.0,United Kingdom
565478,20725,LUNCH BAG RED RETROSPOT,2,2011-09-05 11:18:00,1.65,15005.0,United Kingdom
574591,23503,PLAYING CARDS KEEP CALM & CARRY ON,12,2011-11-06 10:47:00,1.25,15745.0,United Kingdom
568710,23493,VINTAGE DOILY TRAVEL SEWING KIT,3,2011-09-28 15:42:00,1.95,14649.0,United Kingdom
541239,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,4,2011-01-16 10:56:00,2.95,16401.0,United Kingdom
566319,23354,6 GIFT TAGS 50'S CHRISTMAS ,24,2011-09-12 11:25:00,0.83,13431.0,United Kingdom
543040,85071D,CHARLIE+LOLA MY ROOM DOOR SIGN,1,2011-02-02 17:06:00,2.55,17337.0,United Kingdom
557129,71270,PHOTO CLIP LINE,5,2011-06-16 19:59:00,1.25,17841.0,United Kingdom
571034,23100,SILVER BELLS TABLE DECORATION,12,2011-10-13 12:47:00,1.25,12359.0,Cyprus
546866,22948,METAL DECORATION NAUGHTY CHILDREN ,2,2011-03-17 15:47:00,0.85,14462.0,United Kingdom
550242,22983,CARD BILLBOARD FONT,12,2011-04-15 11:31:00,0.42,13117.0,United Kingdom
551819,21793,CLASSIC FRENCH STYLE BASKET BROWN,8,2011-05-04 11:58:00,3.95,14739.0,United Kingdom
540856,21204,DAISIES  HONEYCOMB GARLAND ,12,2011-01-12 10:16:00,1.65,16655.0,United Kingdom
579446,17012D,ORIGAMI ROSE INCENSE/CANDLE SET ,24,2011-11-29 13:43:00,0.85,14121.0,United Kingdom
566233,23322,LARGE WHITE HEART OF WICKER,6,2011-09-11 11:04:00,2.95,12635.0,Germany
537176,21657,MILK BOTTLE WITH GLASS STOPPER ,3,2010-12-05 13:26:00,6.95,16411.0,United Kingdom
537603,22835,HOT WATER BOTTLE I AM SO POORLY,4,2010-12-07 12:49:00,4.65,14673.0,United Kingdom
554993,21558,SKULL LUNCH BOX WITH CUTLERY ,3,2011-05-29 14:13:00,2.55,17051.0,United Kingdom
557389,22091,EMPIRE TISSUE BOX,2,2011-06-20 11:03:00,1.25,15921.0,United Kingdom
567795,22329,ROUND CONTAINER SET OF 5 RETROSPOT,12,2011-09-22 11:44:00,1.65,14646.0,Netherlands
571546,23162,REGENCY TEA STRAINER,12,2011-10-17 17:24:00,3.75,17920.0,United Kingdom
554979,22998,TRAVEL CARD WALLET KEEP CALM,10,2011-05-29 11:34:00,0.42,16931.0,United Kingdom
567656,23028,DRAWER KNOB CRACKLE GLAZE BLUE,6,2011-09-21 14:40:00,3.29,14096.0,United Kingdom
567934,22835,HOT WATER BOTTLE I AM SO POORLY,8,2011-09-22 17:56:00,4.95,16173.0,United Kingdom
544810,47566,PARTY BUNTING,4,2011-02-23 15:53:00,4.95,17675.0,United Kingdom
578229,23264,SET OF 3 WOODEN SLEIGH DECORATIONS,1,2011-11-23 11:54:00,1.25,16066.0,United Kingdom
545349,22570,FELTCRAFT CUSHION RABBIT,1,2011-03-02 11:07:00,3.75,18118.0,United Kingdom
558232,22760,"TRAY, BREAKFAST IN BED",2,2011-06-27 14:30:00,12.75,17841.0,United Kingdom
542776,21670,BLUE SPOT CERAMIC DRAWER KNOB,12,2011-02-01 08:23:00,1.25,15240.0,United Kingdom
559070,84946,ANTIQUE SILVER T-LIGHT GLASS,12,2011-07-06 10:41:00,1.25,13468.0,United Kingdom
565932,84978,HANGING HEART JAR T-LIGHT HOLDER,12,2011-09-08 10:35:00,1.25,16418.0,United Kingdom
560248,22993,SET OF 4 PANTRY JELLY MOULDS,4,2011-07-17 12:24:00,1.25,16255.0,United Kingdom
567298,POST,POSTAGE,5,2011-09-19 12:29:00,18.0,12497.0,Germany
568061,72818,CHRISTMAS DECOUPAGE CANDLE,3,2011-09-23 13:12:00,0.39,16910.0,United Kingdom
566228,22867,HAND WARMER BIRD DESIGN,96,2011-09-11 10:52:00,1.85,13408.0,United Kingdom
570127,51014A,"FEATHER PEN,HOT PINK",12,2011-10-07 13:17:00,0.39,16900.0,United Kingdom
581112,71459,HANGING JAM JAR T-LIGHT HOLDERS,12,2011-12-07 12:17:00,0.85,16678.0,United Kingdom
563830,23312,VINTAGE CHRISTMAS GIFT SACK,4,2011-08-19 12:20:00,4.15,16638.0,United Kingdom
570210,22211,WOOD STAMP SET FLOWERS,1,2011-10-09 10:48:00,0.83,13259.0,United Kingdom
554699,23298,SPOTTY BUNTING,3,2011-05-26 09:17:00,4.95,12613.0,Germany
576879,22150,3 STRIPEY MICE FELTCRAFT,1,2011-11-16 16:52:00,1.95,18006.0,United Kingdom
574891,22227,HANGING HEART MIRROR DECORATION ,5,2011-11-07 14:28:00,0.65,14606.0,United Kingdom
554704,22699,ROSES REGENCY TEACUP AND SAUCER ,6,2011-05-26 10:09:00,2.95,15658.0,United Kingdom
570218,85178,VICTORIAN SEWING KIT,24,2011-10-09 12:20:00,1.25,16873.0,United Kingdom
558995,21090,SET/6 COLLAGE PAPER PLATES,12,2011-07-05 12:03:00,0.39,17671.0,United Kingdom
540489,22267,EASTER DECORATION EGG BUNNY ,6,2011-01-07 16:32:00,1.25,13593.0,United Kingdom
556829,22441,GROW YOUR OWN BASIL IN ENAMEL MUG,8,2011-06-15 10:51:00,2.1,12809.0,Portugal
567470,23274,STAR T-LIGHT HOLDER WILLIE WINKIE,12,2011-09-20 12:39:00,1.65,16624.0,United Kingdom
575642,22666,RECIPE BOX PANTRY YELLOW DESIGN,8,2011-11-10 14:07:00,2.95,14466.0,United Kingdom
542534,20932,PINK POT PLANT CANDLE,4,2011-01-28 13:27:00,3.75,13707.0,United Kingdom
578942,23570,TRADITIONAL PICK UP STICKS GAME ,4,2011-11-27 13:29:00,1.25,17288.0,United Kingdom
565151,22697,GREEN REGENCY TEACUP AND SAUCER,5,2011-09-01 14:29:00,2.95,16923.0,United Kingdom
561885,20771,CHRYSANTHEMUM  JOURNAL,1,2011-07-31 13:13:00,2.55,15532.0,United Kingdom
574749,22138,BAKING SET 9 PIECE RETROSPOT ,3,2011-11-07 08:54:00,4.95,15150.0,United Kingdom
575756,23270,SET OF 2 CERAMIC PAINTED HEARTS ,1,2011-11-11 10:48:00,1.45,18118.0,United Kingdom
571239,21948,SET OF 6 CAKE CHOPSTICKS,12,2011-10-14 14:54:00,1.25,12744.0,Singapore
540526,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,2,2011-01-09 13:41:00,0.85,14606.0,United Kingdom
572552,22098,BOUDOIR SQUARE TISSUE BOX,1,2011-10-24 17:07:00,2.46,14096.0,United Kingdom
564747,23147,SINGLE ANTIQUE ROSE HOOK IVORY,6,2011-08-28 16:09:00,1.45,14869.0,United Kingdom
562214,85025C,PINK HEART SHAPE PHOTO FRAME,12,2011-08-03 13:39:00,1.65,17731.0,United Kingdom
545445,22303,COFFEE MUG APPLES DESIGN,6,2011-03-02 16:26:00,2.55,17738.0,United Kingdom
544893,22924,FRIDGE MAGNETS LA VIE EN ROSE,12,2011-02-24 12:01:00,0.85,17865.0,United Kingdom
577502,23254,CHILDRENS CUTLERY DOLLY GIRL ,4,2011-11-20 12:34:00,4.15,12598.0,France
541962,22957,SET 3 PAPER VINTAGE CHICK PAPER EGG,6,2011-01-24 12:58:00,2.95,12693.0,Germany
544672,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,96,2011-02-22 15:45:00,0.72,14646.0,Netherlands
